Model,Network Type,GPRS,Year,Month,Height,Breadth,Width,Weight,Sim,Screen,Screen Size,Resolution_X,Resolution_Y,OS,Chipset,Cores,GPU,External Memory,Hard Disk,Main Memory,GPS,USB Type,Battery Size,NFC,Wifi,Radio,Fingerprint,Accelerometer,Gyroscope,Proximity
Samsung S,5,1,2009,9,103,56.5,12,90,1,TFT,2.8,240,320,-,-,-,-,8,-,-,0,2,960,0,No,1,-,-,-,-
Samsung E,5,1,2009,9,107.4,45.5,13.6,64.5,1,CSTN,1.43,128,128,-,-,-,-,0,-,-,0,0,800,0,No,0,-,-,-,-
Samsung S,5,1,2009,9,104,53,11.9,92,1,TFT,3,240,400,-,-,-,-,16,-,-,0,2,1000,0,Wi-Fi 802.11 b/g,1,0,1,0,0
Samsung B,5,1,2009,10,102.3,52.4,15.9,113.7,1,TFT,2.6,240,320,-,-,-,-,8,-,-,0,2,960,0,No,1,-,-,-,-
Samsung W,35,1,2009,10,115.8,56.9,16.3,145,1,TFT,3.3,480,800,-,-,-,-,32,-,-,0,2,1080,0,No,0,0,1,0,1
Samsung I,35,1,2009,11,115,57,13.2,124,1,TFT,3.2,320,480,Android 1.5,-,1,-,32,-,-,1,2,1500,0,Wi-Fi 802.11 b/g,0,0,1,0,0
Samsung B,35,1,2009,11,105,56.8,15.7,135,1,TFT,2.8,240,320,-,-,-,-,16,-,-,2,2,960,0,Wi-Fi 802.11 b/g,1,0,1,0,0
Motorola MILESTONE,455,1,2009,11,115.8,60,13.7,165,1,TFT,3.7,480,854,Android 2.1,-,1,PowerVR SGX530,32,0.1298828125,0.25,2,2,1400,0,Wi-Fi 802.11 b/g,0,0,1,0,1
Samsung Galaxy,35,1,2010,1,111,55,15.2,117,1,TFT,3.2,240,400,Android 2.2,Qualcomm MSM7227,1,Adre0 200,32,-,-,2,2,1200,0,Wi-Fi 802.11 b/g/n,1,0,1,0,1
Motorola ES,35,1,2010,1,129,60.4,16.4,156,1,TFT,3,480,640,Windows 6.5.0,Qualcomm MSM7627,1,Adre0 200,32,0,0.25,2,2,1540,0,Wi-Fi 802.11 b/g,0,1,1,0,0
Samsung E,5,0,2010,2,88,44,19.8,72.5,1,CSTN,1.43,128,128,-,-,-,-,0,-,-,0,0,800,0,No,0,-,-,-,-
Samsung S,35,1,2010,3,108.8,53.7,12.4,92,1,TFT,3,240,400,-,-,-,-,16,-,-,2,2,1000,0,Wi-Fi 802.11 b/g,1,0,1,0,0
Apple iPad Wi-Fi +,35,1,2010,3,242.8,189.7,13.4,730,1,IPS LCD,9.7,768,1024,iOS 4,Apple A4,1,PowerVR SGX535,0,16,0.25,2,2,6600,0,Wi-Fi 802.11 a/b/g/n,0,0,1,0,0
Apple iPad Wi-Fi,0,0,2010,3,242.8,189.7,13.4,680,0,IPS LCD,9.7,768,1024,iOS 4,Apple A4,1,PowerVR SGX535,0,16,0.25,0,2,6600,0,Wi-Fi 802.11 a/b/g/n,0,0,1,0,0
Motorola BACKFLIP,35,1,2010,3,108,53,15.3,133,1,TFT,3.1,320,480,Android 1.5,Qualcomm MSM7201A,1,Adre0 130,32,0.5,0.25,2,2,1400,0,Wi-Fi 802.11 b/g,0,0,1,0,1
Samsung S,35,1,2010,4,118,56,10.9,118,1,Super AMOLED,3.3,480,800,Bada 2.0,Hummingbird,1,PowerVR SGX540,32,-,-,2,2,1500,0,Wi-Fi 802.11 b/g/n,1,0,1,0,1
Samsung Galaxy A,35,1,2010,5,119.5,59.8,12.5,128,1,Super AMOLED,3.7,480,800,Android 2.1,TI OMAP,1,PowerVR SGX530,32,1,0.375,2,2,1500,0,Wi-Fi 802.11 b/g/n,0,0,1,0,1
Samsung I,35,1,2010,6,122.4,64.2,9.9,119,1,Super AMOLED,4,480,800,Android 2.1,Hummingbird,1,PowerVR SGX540,32,8,0.5,2,2,1500,0,Wi-Fi 802.11 b/g/n,1,0,1,0,1
Samsung C,5,1,2010,6,96.3,53.8,13,80,1,TFT,2.4,240,320,TouchWiz UI,-,-,-,8,-,-,0,2,1000,0,No,1,-,-,-,-
Samsung A,35,1,2010,6,102,52,22,100,1,TFT,2.2,240,320,-,-,-,-,16,-,-,2,2,1300,0,No,0,-,-,-,-
Samsung B,35,1,2010,6,113.5,55.5,14.3,112,2,TFT,3.2,240,400,-,-,-,-,16,-,-,0,2,1200,0,Wi-Fi 802.11 b/g,1,-,-,-,-
Apple iPhone,35,1,2010,6,115.2,58.6,9.3,137,1,IPS LCD,3.5,640,960,iOS 4,Apple A4,1,PowerVR SGX535,0,8,0.5,2,2,1420,0,Wi-Fi 802.11 b/g/n,0,0,1,1,1
Motorola FlipOut,35,1,2010,6,67,67,17,120,1,TFT,2.8,320,240,Android 2.1,TI OMAP,1,PowerVR SGX530,32,0.5,0.5,2,2,1130,0,Wi-Fi 802.11 b/g/n,1,0,1,0,1
Samsung U,2,0,2010,7,100,51,18,99,1,TFT,2.2,176,220,-,-,-,-,0,0.0234375,0.015625,1,2,1000,0,No,0,-,-,-,-
Samsung M,35,1,2010,7,122.4,64.2,9.9,121,1,Super AMOLED,4,480,800,Android 2.1,Hummingbird,1,PowerVR SGX540,32,-,-,2,2,1500,0,Wi-Fi 802.11 b/g/n,1,0,1,0,1
Samsung i,35,1,2010,7,122.4,64.2,9.9,118,1,Super AMOLED,4,480,800,Android 2.1,Hummingbird,1,PowerVR SGX540,32,16,0.5,2,2,1500,0,Wi-Fi 802.11 b/g/n,0,0,1,0,1
Samsung I,35,1,2010,7,113.5,55,12.9,109,1,TFT,3.2,240,400,Android 2.1,-,1,-,32,0.5,0.25,2,2,1500,0,Wi-Fi 802.11 b/g/n,1,0,1,0,1
Samsung I,35,1,2010,7,123,59.8,14.9,156,1,Super AMOLED,3.7,480,800,Android 2.1,-,1,-,32,16,0.375,2,2,1800,0,Wi-Fi 802.11 b/g/n,1,0,1,0,1
Motorola DROID X,6,0,2010,7,127.5,65.5,9.9,155,1,TFT,4.3,480,854,Android 2.1,TI OMAP3630,1,PowerVR SGX530,32,6.5,0.5,2,2,1540,0,Wi-Fi 802.11 b/g/n,1,0,1,0,1
Motorola XT,35,1,2010,7,116,60.9,10.9,139,1,TFT,3.7,480,854,Android 2.1,-,1,-,32,0.5,0.25,2,2,1390,0,Wi-Fi 802.11 b/g,1,0,1,0,1
Motorola MILESTONE XT,35,1,2010,7,116,60.9,10.9,139,1,TFT,3.7,480,854,Android 2.1,-,1,PowerVR SGX530,32,0.5,0.25,2,2,1390,0,Wi-Fi 802.11 b/g,1,0,1,0,1
Samsung I,35,1,2010,8,108,56,12.3,102,1,TFT,2.8,240,320,Android 2.1,-,1,-,16,-,-,2,2,1200,0,Wi-Fi 802.11 b/g/n,1,0,1,0,1
